"chromosome","start","end","width","strand","gene_id","symbol","Log2FC","Pval","FDR"
"chr1",20475968,20488420,12453,"+","29221","Arg1",-0.370367632725766,0.551457277688653,0.840927739764278
"chr1",20490315,20537463,47149,"-","309565","Med23",-0.257272476020378,0.729449680957478,0.913599170917161
"chr1",20563700,20635043,71344,"+","54410","Enpp3",0.138455938335851,0.674538673005536,0.892533516613611
"chr1",20698770,20762505,63736,"+","85496","Enpp1",-0.0283984676332065,0.719602720936384,0.909850058200784
"chr1",20802200,20805315,3116,"-","64032","Ccn2",-0.0916805673648377,0.133241893424034,0.527873293675061
"chr1",21197081,21237213,40133,"-","60466","Stx7",-0.130233068424282,0.597731410856446,0.860169804698365
"chr1",21274972,21275988,1017,"+","319107","Taar9",-0.675844547615234,0.107023261479837,0.487007110451943
"chr1",21289843,21290877,1035,"+","319105","Taar8c",-0.548528154972108,0.91179843676127,0.977908169061962
"chr1",21305056,21306090,1035,"+","319106","Taar8b",-1.19806091443786,0.125703173624425,0.516069526367698
"chr1",21332763,21333887,1125,"-","319104","Taar8a",-1.05042344627422,0.0407779088188598,0.350330439727453
"chr1",21373493,21374569,1077,"-","294130","Taar7h",-0.1266561611122,0.0809639453434473,0.438154888624081
"chr1",21387360,21388436,1077,"-","294131","Taar7g",0.084514898475627,0.529911189263245,0.830187849510509
"chr1",21401716,21402792,1077,"-","294133","Taar7e",0.0535286912352262,0.379676758498388,0.742078075558879
"chr1",21409325,21410401,1077,"-","294134","Taar7d",-0.763953124848614,0.624668185063809,0.87223051977668
"chr1",21429364,21430440,1077,"-","494535","Taar7c",0.833651811829377,0.205984790509748,0.608388312348512
"chr1",21440832,21441908,1077,"-","294126","Taar7b",-0.811624249207151,0.888855895642996,0.971341990100498
"chr1",21450933,21452009,1077,"+","294125","Taar7a",-1.35846702459565,0.524763844248701,0.827083538043197
"chr1",21458475,21459512,1038,"+","294124","Taar6",-0.109752265438166,0.207128287062421,0.609443979891708
"chr1",21469923,21470936,1014,"-","294123","Taar5",-0.4648300859664,0.540385434157327,0.836814847823331
"chr1",21481050,21482093,1044,"-","294122","Taar4",0.914171354482779,0.216839727066545,0.618832407141309
"chr1",21491538,21492566,1029,"-","494319","Taar3",-0.154414302146911,0.292415520554519,0.681421876298198
"chr1",21500290,21504259,3970,"-","294121","Taar2",-1.02180154026327,0.0645063398102132,0.407457648058717
"chr1",21517742,21518740,999,"-","113914","Taar1",0.360304444377873,0.961221530128551,0.991167866368274
"chr1",21537091,21547395,10305,"-","29142","Vnn1",-0.295661764608901,0.407878274218114,0.760800745680501
"chr1",21571364,21583626,12263,"-","498992","Vnn3",0.166522047644756,0.259515636748423,0.656903345682216
"chr1",21679941,21680668,728,"-","100910237","LOC100910237",-0.0342502673166296,0.136916661926538,0.53167258784716
"chr1",21680854,21683010,2157,"+","65139","Rps12",-0.130940494887434,0.482203770969499,0.806587812941623
"chr1",22172275,22414125,241851,"+","292172","Eya4",-0.02894610224569,0.72302549240546,0.91116522874181
"chr1",22701353,22704204,2852,"+","252856","Tcf21",-0.779163915105987,0.111843834694534,0.494939476547239
"chr1",22778481,22803305,24825,"+","689030","Tbpl1",0.0788713679432677,0.196978143785494,0.59770642917873
"chr1",22804418,22858075,53658,"-","308028","Slc2a12",0.0015049680898168,0.755109841366737,0.924167511088538
"chr1",22980258,22988097,7840,"-","29517","Sgk1",0.268183210197726,0.00784816722458265,0.198365270140176
"chr1",23735272,23762997,27726,"+","361459","Clvs2",-0.101986127496284,0.893319612511172,0.972496130191507
"chr1",23955651,24410413,454763,"-","59299","Trdn",-0.460882801434206,0.234738626892392,0.633721618111968
"chr1",26016668,26108736,92069,"+","292188","Rnf217",-0.10991366867332,0.54629357474098,0.838233322495398
"chr1",26172170,26290704,118535,"+","689256","Tpd52l1",-0.225128732665584,0.274304974962858,0.667294475243039
"chr1",26294033,26313914,19882,"-","361462","Hddc2",0.269068432851216,0.357248895920004,0.730054748899592
"chr1",26822131,26832218,10088,"+","155430","Hey2",0.112234934561669,0.0226567131739847,0.289329055380026
"chr1",27035936,27045799,9864,"+","246769","Hint3",-0.00893415765661836,0.413679483785591,0.76310009205119
"chr1",27054432,27109763,55332,"+","378794","Trmt11",-0.630818359008857,0.153198423903205,0.550306201431133
"chr1",27525324,27530464,5141,"+","689399","Cenpw",-0.361401004362885,0.0177465148257459,0.266189874325667
"chr1",28283914,28367061,83148,"+","498997","Rspo3",-0.31098038425746,0.149262569117016,0.548144705285485
"chr1",28465165,28475761,10597,"+","308051","Rnf146",0.037830438989236,0.967967728222766,0.993021010600296
"chr1",28476360,28506718,30359,"-","361465","Echdc1",-0.372933007493472,0.178510271123442,0.575823408975616
"chr1",28615606,28630309,14704,"-","292199","Kiaa0408L",-0.18201396395466,0.84268405788883,0.956904412317685
"chr1",28921475,28925646,4172,"+","502225","Lrrc14b",-0.771829725884357,0.569481996502116,0.848651287618295
"chr1",28929546,28935891,6346,"-","308060","Ccdc127",-0.105190012276011,0.678104768128102,0.892950801425241
"chr1",28935965,28960936,24972,"+","157074","Sdha",0.202075932331643,0.220970402407568,0.622372251414084
"chr1",28966518,28982185,15668,"+","308061","Pdcd6",0.100664965438944,0.37690976218231,0.740487355239326
"chr1",28993634,29088673,95040,"+","498999","Ahrr",-0.0984935230455683,0.950506200203006,0.989100944361548
"chr1",29091298,29122047,30750,"+","252881","Exoc3",-0.206717841692188,0.849055190559648,0.959238599571342
"chr1",29124674,29167417,42744,"-","24784","Slc9a3",-0.385758208285585,0.170033864238329,0.564631695763193
"chr1",29261255,29281134,19880,"-","361466","Tppp",-0.102129133399919,0.466168214032586,0.796818876574531
"chr1",29296334,29326897,30564,"-","499000","Zdhhc11",0.027649124237209,0.218035281442602,0.619634255156777
"chr1",29329974,29357017,27044,"-","308067","Brd9",-0.11294072817527,0.910239628825738,0.977421843792578
"chr1",29357140,29402078,44939,"+","292206","Trip13",-0.24654408354003,0.564070890537017,0.846693377746499
"chr1",29443980,29470820,26841,"+","308068","Nkd2",-0.25761245416372,0.861978687008807,0.96383332060227
"chr1",29472692,29526073,53382,"-","308069","Slc12a7",-0.168178933969348,0.195588235546222,0.596485653035422
"chr1",29586205,29604964,18760,"+","664630","Slc6a19",-0.446638892709666,0.670460572737332,0.891123347947738
"chr1",29608100,29621925,13826,"+","29323","Slc6a18",-0.152699306748868,0.620258856957819,0.869937298293994
"chr1",29638051,29658813,20763,"-","301965","Tert",-0.33462697579977,0.597897299472811,0.860169804698365
"chr1",29667545,29683530,15986,"-","316916","Clptm1l",-0.139037141621853,0.696896149777716,0.900090567675545
"chr1",29709443,29750413,40971,"-","24898","Slc6a3",-1.16063665913389,0.00123554798799946,0.0950435914230975
"chr1",29766070,29816401,50332,"-","361467","Lpcat1",-0.370183716989296,0.779082303991836,0.934504122487899
"chr1",29965481,29966577,1097,"-","364656","Mrpl36",-0.0127729881524429,0.99367268440305,0.999281268035965
"chr1",30030561,30039549,8989,"-","306655","Irx4",-0.129498126219283,0.323730226451312,0.704645761202651
"chr1",30660960,30666378,5419,"-","306657","Irx2",-0.204455433247351,0.789210885081023,0.937080462677903
"chr1",31294615,31300444,5830,"+","306659","Irx1",-0.354803809997326,0.135231435227771,0.529855676046111
"chr1",32430436,32560494,130059,"+","306664","Adamts16",-0.0893939682766224,0.471044067235667,0.799817944837562
"chr1",33470064,33475724,5661,"-","290939","Med10",-0.484170811983287,0.173018937634781,0.569339230587569
"chr1",33548814,33589174,40361,"+","679949","Ube2ql1",-0.420727161449761,0.0987765164688422,0.473086488180594
"chr1",33662139,33685862,23724,"-","361191","Nsun2",-0.101936689648732,0.589618086708245,0.857483274865893
"chr1",33686470,33720463,33994,"+","24950","Srd5a1",0.184319633463733,0.0827874925222892,0.440983177614758
"chr1",33766638,33799433,32796,"+","306672","Tent4a",-0.09813741403086,0.44475770217067,0.783255006145258
"chr1",34375911,34822236,446326,"+","81636","Adcy2",-0.481377061877564,0.132647746146566,0.526977317581546
"chr1",34858343,34866874,8532,"-","290946","Fastkd3",0.192489759866106,0.175650508344083,0.572985264022804
"chr1",34867089,34898956,31868,"+","290947","Mtrr",0.0256763474666323,0.479370965084997,0.805455008057055
"chr1",34927301,34944109,16809,"-","680200","Zfp455l1",-0.275162695336869,0.883238253129815,0.96957733584591
"chr1",35003999,35014326,10328,"-","498682","RGD1566325",0.215818924677967,0.142911947517507,0.538261956763335
"chr1",35020478,35033216,12739,"-","682870","LOC682870",0.0105468194348822,0.525701523893657,0.827532681352593
"chr1",39773403,39886958,113556,"+","171010","Ppp1r14c",-0.425943510944569,0.380927420307744,0.743356183301673
"chr1",40004041,40019323,15283,"+","308129","Iyd",-0.286426273190608,0.566267234328597,0.847335955958021
"chr1",40348684,40434063,85380,"+","679812","Plekhg1",0.053056735594772,0.653445007673981,0.883417126653816
"chr1",40444008,40632909,188902,"+","361472","Mthfd1l",-0.136995309292449,0.696432384301825,0.900090567675545
"chr1",40730123,40819863,89741,"+","83425","Akap12",-0.273811926786234,0.424106815283359,0.768799762244484
"chr1",40827457,40834938,7482,"-","308126","Zbtb2",0.00936312334111608,0.782542590457246,0.935287625442098
"chr1",40860464,40884019,23556,"-","292268","Rmnd1",-0.0175569361778203,0.757633684211117,0.925359477431198
"chr1",40894578,40918301,23724,"+","292267","Armt1",0.0371309903661391,0.483336362465829,0.806778783278781
"chr1",41236742,41495002,258261,"+","24890","Esr1",0.0290328124733669,0.546685513147571,0.838274004964924
"chr1",42018137,42029410,11274,"+","292264","Myct1",-0.599636849367391,0.128137587656201,0.520670906040107
"chr1",42065138,42073218,8081,"+","117064","Vip",-1.02320232069992,0.0328631826172979,0.325644264116861
"chr1",42196068,42202437,6370,"-","292263","Fbxo5",0.235080721683494,0.245663390221634,0.643487513241141
"chr1",42210582,42220834,10253,"-","361473","Mtrf1l",-0.116756658816894,0.657994452858311,0.885753681626548
"chr1",42227620,42324609,96990,"-","308118","Rgs17",-0.155126853916004,0.727131053412697,0.91283944511355
"chr1",43160057,43413409,253353,"+","25601","Oprm1",-0.452649710079494,0.581079482534864,0.854486397520168
"chr1",43273318,43346804,73487,"-","361474","Ipcef1",-0.56562632165845,0.93806878071576,0.985240562221189
"chr1",43499273,43591630,92358,"-","308113","Cnksr3",0.0847429934427413,0.658279649091694,0.885764761990521
"chr1",43727794,43804978,77185,"+","245926","Scaf8",0.138823789076978,0.0562968343357601,0.392099357354495
"chr1",44119165,44161680,42516,"-","308140","Tfb1m",0.0735061161865065,0.0490557152684717,0.375487954688433
"chr1",44133769,44134428,660,"+","680178","Cldn20",0.0391608154843085,0.0278202420857198,0.306497171178114
"chr1",44238012,44302851,64840,"-","292279","Nox3",0.0165540354893106,0.0648362035031246,0.408189094500574
"chr1",45992706,46019481,26776,"-","292228","Tmem242",-0.110809531461966,0.689917165048084,0.898007383178148
"chr1",45997845,45999268,1424,"-","369018","Ldhal6b",-0.0453596768658152,0.996737338606478,0.999541433079386
"chr1",46069127,46330489,261363,"+","499014","Zdhhc14",0.0107334266321448,0.192606892641394,0.592669748142592
"chr1",46424968,46509037,84070,"+","683687","Snx9",0.254373131425781,0.0103013344642876,0.223174252244939
"chr1",46518709,46616017,97309,"+","84018","Synj2",0.110937270267165,0.099423008792046,0.474141994348724
"chr1",46656938,46663512,6575,"+","502227","Gtf2h5",0.153785183779244,0.398543048750063,0.75328825947774
"chr1",46710735,46808570,97836,"+","499016","Tulp4",0.255465446603555,0.018157174081415,0.269498822110534
"chr1",46842517,46882675,40159,"+","502228","Tmem181",0.133660914470847,0.215148767743613,0.617403803649077
"chr1",46887018,46893841,6824,"-","83462","Dynlt1",0.101866594030062,0.317588482661479,0.700131859134901
"chr1",46911217,46967461,56245,"+","499017","Sytl3",-0.134308864168361,0.512361840229635,0.821739055876846
"chr1",46967961,47011505,43545,"-","54319","Ezr",-0.0248502743261026,0.65684822928649,0.885061687152943
"chr1",47116168,47154232,38065,"-","361476","Rsph3",0.0464773864136977,0.454831768929984,0.789391719125197
"chr1",47170725,47178755,8031,"-","308097","Tagap",0.298133159712396,0.234592593052738,0.633523509265989
"chr1",47302722,47363593,60872,"+","308099","Fndc1",-0.431725634489535,0.528550598326051,0.829248149946593
"chr1",47638318,47645163,6846,"-","24787","Sod2",-0.154550171242493,0.793596973791773,0.939027832480393
"chr1",47665965,47691067,25103,"+","499020","Wtap",0.258231511157272,0.031537739987568,0.320336741632607
"chr1",47695833,47713879,18047,"+","308100","Acat2",0.203590721380759,0.0185670987613931,0.271074442858332
"chr1",47829062,47836744,7683,"-","24818","Tcp1",0.196303447586222,0.0714750649098427,0.422064484133973
"chr1",47837169,47841986,4818,"+","292244","Mrpl18",0.405209234301481,0.0151963647131405,0.252164225116242
"chr1",47843224,47861675,18452,"+","361478","Pnldc1",0.349253346539616,0.00478342283362847,0.168531099431274
"chr1",47872474,47873439,966,"-","404641","Mas1l",0.629991937589695,0.0728911961586961,0.423599620462399
"chr1",47880309,47911500,31192,"+","25153","Mas1",0.0378594899900363,0.207002230411313,0.609199949101131
"chr1",47979109,48067501,88393,"+","25151","Igf2r",-0.0324502913459127,0.461512711179349,0.79400213465849
"chr1",48076666,48103679,27014,"+","24904","Slc22a1",0.139894197977306,0.273437852044547,0.666823100732457
"chr1",48121061,48163258,42198,"-","29503","Slc22a2",-0.166575157779157,0.562322903639456,0.845770134523003
"chr1",48235476,48324614,89139,"+","29504","Slc22a3",-0.252865655577854,0.969747874627304,0.993853331322957
"chr1",48325186,48367643,42458,"-","85253","Plg",-0.538402600683349,0.203043378542118,0.605001968524608
"chr1",48431873,48519358,87486,"+","308106","Map3k4",-0.00927904502966832,0.407898755893884,0.760800745680501
"chr1",48527322,48633223,105902,"-","170919","Agpat4",0.248912105848073,0.02282822461036,0.289329055380026
"chr1",48690481,49882447,1191967,"-","56816","Prkn",-0.153232248563934,0.978139748599918,0.996676571278426
"chr1",49882722,50305434,422713,"+","499021","Pacrg",0.0747877260426584,0.250101608502191,0.648427173673142
"chr1",50385803,50386959,1157,"-","106182183","Cahm",-0.0468173923925635,0.419478110082335,0.765496217382784
"chr1",50387698,50491155,103458,"+","499022","Qki",-0.165738799463547,0.951202264571195,0.989203174943482
"chr1",51045264,51048339,3076,"+","292295","Pabpc6",-0.344228520739012,0.872482825322607,0.966715404931783
"chr1",51740328,51763989,23662,"-","681210","MGC94891",-0.0149488211959597,0.302732890256146,0.688973855999453
"chr1",51770132,51953613,183482,"-","63885","Pde10a",0.0108219852528222,0.764913459292864,0.928000188547705
"chr1",52298099,52305864,7766,"-","292301","Tbxt",-0.168785264917414,0.600885002698742,0.861370577598723
"chr1",52318455,52373525,55071,"-","681288","T2",0.0139787106545081,0.815048226713821,0.946386712099519
"chr1",52402426,52403352,927,"-","361481","Prr18",-0.318610721661956,0.0518470040782356,0.380397202712656
"chr1",52409687,52425583,15897,"-","292305","Sft2d1",0.371273983891204,0.153468659519427,0.550306201431133
"chr1",52437747,52449369,11623,"-","171087","Mpc1",-0.169635487161285,0.375844868795778,0.739693185434392
"chr1",52476066,52498570,22505,"-","308163","Ccr6",-0.277493077559718,0.557062458600651,0.843257467059748
"chr1",52535156,52563955,28800,"-","683722","Cep43",0.461880415847448,0.0816918275585234,0.439155909828459
"chr1",52585980,52603151,17172,"+","292306","Rnaset2",0.191513470810927,0.502071447190841,0.816146100563811
"chr1",52771260,52906739,135480,"+","117269","Rps6ka2",0.110177839738019,0.00661471145110147,0.189560556640752
"chr1",52926953,52927912,960,"-","292310","Gpr31",0.177639755645936,0.295436114477437,0.683097433183106
"chr1",52939092,52960833,21742,"+","308169","Tcp10b",-0.0844099155699516,0.631450628274964,0.876426079670446
"chr1",52968428,52970206,1779,"-","292311","Ttll2",-0.1289400912695,0.85312726092207,0.960029246024117
"chr1",53280367,53579596,299230,"+","292316","Smok2a",-0.59444934228053,0.0167005026409519,0.261821095093735
"chr1",53905376,54034216,128841,"+","26955","Afdn",0.240507518040118,0.0268871885740108,0.302859756141017
"chr1",54292484,54321356,28873,"+","685557","Vom2r7",-0.367611620397654,0.164884179441166,0.560147442402561
"chr1",54686330,54725985,39656,"+","685641","Vom2r8",-0.470743537390307,0.0111127176091276,0.227204918057661
"chr1",54858286,54872201,13916,"+","685666","Vom2r9",-0.707021516765925,0.0072377814890414,0.195095686505227
"chr1",55181023,55189939,8917,"-","308212","Dact2",-0.347640512825394,0.370800577909272,0.737541295476472
"chr1",55262530,55391695,129166,"+","292401","Smoc2",-0.156475934202577,0.797436137775499,0.940168355234145
"chr1",55670394,55699789,29396,"-","292406","Thbs2",-0.26007817006569,0.0847222953939516,0.443710760261416
"chr1",55950449,55953171,2723,"+","100125364","LOC100125364",0.0515503389768479,0.26609585354459,0.662296515743921
"chr1",55952253,55968590,16338,"-","292404","Phf10",-0.149072881295046,0.995215802872782,0.999493999347683
"chr1",55971335,55983164,11830,"-","365153","Dynlt2",-0.167247569812533,0.86000471922544,0.963024044588182
"chr1",56312062,56320174,8113,"-","84010","Dll1",-0.0448755373989692,0.924218779794319,0.980847268204925
"chr1",56339129,56385064,45936,"+","308218","Fam120b",-0.0764646519710229,0.702699101444681,0.902501828499539
"chr1",56442681,56461680,19000,"-","94198","Psmb1",-0.0202816309744253,0.398515711960215,0.75328825947774
"chr1",56463618,56480428,16811,"+","117526","Tbp",-0.00448533349447153,0.153005773111492,0.550306201431133
"chr1",56484947,56490437,5491,"-","58934","Pdcd2",-0.182452624659326,0.738846315679015,0.917050725602592
"chr1",56505579,56525652,20074,"-","365155","Prdm9",0.299900998568193,0.0469755504659352,0.36999857579033
"chr1",56664054,56728125,64072,"+","308215","Chd1",0.127908458143777,0.00782991654660786,0.198365270140176
"chr1",58103132,58119397,16266,"+","308201","Riok2",0.0219961242865386,0.244015382865607,0.642076632816409
"chr1",58128961,58185964,57004,"+","292381","Lix1",-0.0751407083949548,0.923583444525028,0.980778572412101
"chr1",58258643,58354544,95902,"-","171105","Lnpep",0.0404071811404209,0.200755603368229,0.601990667596616
"chr1",58677015,58677084,70,"+","100314189","Mir99b",0.128202560848729,0.492160701336893,0.812503088916642
"chr1",58677171,58677287,117,"-","100526599","Mir3596c",0.143424162362903,0.494157706333117,0.813272669173357
"chr1",58677180,58677272,93,"+","100313991","Mirlet7e",0.172579675625826,0.383815205081601,0.746069680854115
"chr1",58677626,58677710,85,"+","100314236","Mir125a",0.246843323317029,0.0765721638079696,0.429809635278722
"chr1",58677797,58688562,10766,"+","688452","Spaca6",0.151954427805123,0.366560552637028,0.735228986542814
"chr1",58693411,58705397,11987,"-","282821","Has1",-0.188996909569098,0.563512467136435,0.846409217712465
"chr1",58748266,58749473,1208,"-","292409","Fpr1",0.505165375396174,0.473044904131696,0.801506181682384
"chr1",59027796,59075351,47556,"+","292414","Vom2r10",-0.167121082937931,0.267650462898035,0.663330909338303
"chr1",59498863,59518653,19791,"-","292417","Vom2r11",-0.878190104447687,0.149733275080715,0.548314554002274
"chr1",59686519,59687550,1032,"-","292419","Fpr2l1",-0.59205279789298,0.577941806459318,0.852446079194249
"chr1",60032949,60033899,951,"+","100312665","Vom1r9",-0.269143815230689,0.16846675403995,0.562846779780984
"chr1",60264367,60265317,951,"+","100312667","Vom1r13",0.611018401523038,0.114394297401273,0.50000915956847
"chr1",60540223,60559467,19245,"+","117281","Ppp2r1a",0.304180481180043,0.0212922425586591,0.284500780563509
"chr1",60661804,60662751,948,"-","100312668","Vom1r16",0.187011612784614,0.696682846236379,0.900090567675545
"chr1",60770206,60771111,906,"+","100312945","Vom1r17",-0.065459566215045,0.949875902696838,0.989100944361548
"chr1",61191746,61203997,12252,"+","308232","Zfp54",0.641304293073227,0.00229026547304681,0.127211211868807
"chr1",61284033,61314377,30345,"+","308236","Zfp53",0.286402741099968,0.000211398527000545,0.049821490687696
"chr1",61335270,61363105,27836,"+","361487","Zfp52",0.274187205188021,0.00477842088703807,0.168531099431274
"chr1",62022615,62045322,22708,"+","690566","Vom2r12",0.164200287036798,0.39087446027143,0.748895413404822
"chr1",62022615,62179453,156839,"+","690593","Vom2r13",0.337575839649744,0.69771088743543,0.900145056329519
"chr1",62820605,62834089,13485,"+","502285","Vom2r80",-1.01456417648736,0.326800243504465,0.706682733628999
"chr1",62962456,62984965,22510,"-","690661","Zfp40",-0.26772046409614,0.851353923251637,0.959706057883043
"chr1",63076440,63092260,15821,"-","690680","Vom2r15",-0.384742999433876,0.922363249343405,0.980521614729984
"chr1",63236378,63254508,18131,"+","690691","Vom2r16",0.189150826877034,0.189564300378543,0.590541105928066
